TRIAL_INSTANCE,ENTRY_NO,PLOT_NO,REP,BLOCK_NO
1,1,1,1,1
1,2,2,1,1
1,3,3,1,1
1,4,4,1,1
1,5,5,1,1
1,6,6,1,2
1,7,7,1,2
1,8,8,1,2
1,9,9,1,2
1,10,10,1,2
1,11,11,1,3
1,12,12,1,3
1,13,13,1,3
1,14,14,1,3
1,15,15,1,3
1,16,16,1,4
1,17,17,1,4
1,18,18,1,4
1,19,19,1,4
1,20,20,1,4
1,21,21,1,5
1,22,22,1,5
1,23,23,1,5
1,24,24,1,5
1,25,25,1,5
1,26,26,1,6
1,27,27,1,6
1,28,28,1,6
1,29,29,1,6
1,30,30,1,6
1,27,31,2,1
1,10,32,2,1
1,2,33,2,1
1,15,34,2,1
1,12,35,2,1
1,17,36,2,2
1,23,37,2,2
1,6,38,2,2
1,28,39,2,2
1,5,40,2,2
1,13,41,2,3
1,14,42,2,3
1,21,43,2,3
1,16,44,2,3
1,26,45,2,3
1,4,46,2,4
1,19,47,2,4
1,1,48,2,4
1,7,49,2,4
1,29,50,2,4
1,22,51,2,5
1,20,52,2,5
1,25,53,2,5
1,3,54,2,5
1,9,55,2,5
1,11,56,2,6
1,30,57,2,6
1,8,58,2,6
1,24,59,2,6
1,18,60,2,6
